Receipt_Location,Delivery_Location,Cycle,Start_Gas_Day,End_Gas_Day,Daily_Equivalent_FT,Load_Factor,Bid_Floor
Emerson 1,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.8900,295,2.6255
Emerson 1,Union SSMDA,Timely,2020-11-01,9999-12-31,0.5836,295,1.7216
Emerson 1,Union SWDA,Timely,2020-11-01,9999-12-31,0.7866,295,2.3205
Emerson 1,Union WDA,Timely,2020-11-01,9999-12-31,0.3620,295,1.0679
Emerson 1,Welwyn,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Emerson 2,Centram MDA,Timely,2020-11-01,9999-12-31,0.1379,295,0.4068
Emerson 2,Centram SSDA,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Emerson 2,Centrat MDA,Timely,2020-11-01,9999-12-31,0.1374,295,0.4053
Emerson 2,Chippawa,Timely,2020-11-01,9999-12-31,0.9239,295,2.7255
Emerson 2,Cornwall,Timely,2020-11-01,9999-12-31,1.0553,295,3.1131
Emerson 2,Dawn Export,Timely,2020-11-01,9999-12-31,0.7882,295,2.3252
Emerson 2,East Hereford,Timely,2020-11-01,9999-12-31,1.2150,295,3.5843
Emerson 2,Emerson 1,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Emerson 2,Emerson 2,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Emerson 2,Empress,Timely,2020-11-01,9999-12-31,0.5293,295,1.5614
Emerson 2,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.9226,295,2.7217
Emerson 2,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.0242,295,3.0214
Emerson 2,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.8900,295,2.6255
Emerson 2,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.7882,295,2.3252
Emerson 2,Energir EDA,Timely,2020-11-01,9999-12-31,1.1311,295,3.3367
Emerson 2,Energir NDA,Timely,2020-11-01,9999-12-31,0.7862,295,2.3193
Emerson 2,Iroquois,Timely,2020-11-01,9999-12-31,1.0404,295,3.0692
Emerson 2,KPUC EDA,Timely,2020-11-01,9999-12-31,1.0263,295,3.0276
Emerson 2,Kirkwall,Timely,2020-11-01,9999-12-31,0.8728,295,2.5748
Emerson 2,Napierville,Timely,2020-11-01,9999-12-31,1.1242,295,3.3164
Emerson 2,Niagara Falls,Timely,2020-11-01,9999-12-31,0.9228,295,2.7223
Emerson 2,North Bay Junction,Timely,2020-11-01,9999-12-31,0.8397,295,2.4771
Emerson 2,Philipsburg,Timely,2020-11-01,9999-12-31,1.1320,295,3.3394
Emerson 2,Spruce,Timely,2020-11-01,9999-12-31,0.1374,295,0.4053
Emerson 2,St. Clair,Timely,2020-11-01,9999-12-31,0.7707,295,2.2736
Emerson 2,TCPL NDA,Timely,2020-11-01,9999-12-31,0.6909,295,2.0382
Emerson 2,TCPL WDA,Timely,2020-11-01,9999-12-31,0.4281,295,1.2629
Emerson 2,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5751,295,1.6965
Emerson 2,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.3365,295,0.9927
Emerson 2,Union CDA,Timely,2020-11-01,9999-12-31,0.8875,295,2.6181
Emerson 2,Union ECDA,Timely,2020-11-01,9999-12-31,0.8951,295,2.6405
Emerson 2,Union EDA,Timely,2020-11-01,9999-12-31,1.0215,295,3.0134
Emerson 2,Union NCDA,Timely,2020-11-01,9999-12-31,0.9257,295,2.7308
Emerson 2,Union NDA,Timely,2020-11-01,9999-12-31,0.7626,295,2.2497
Emerson 2,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.8900,295,2.6255
Emerson 2,Union SSMDA,Timely,2020-11-01,9999-12-31,0.5836,295,1.7216
Emerson 2,Union SWDA,Timely,2020-11-01,9999-12-31,0.7866,295,2.3205
Emerson 2,Union WDA,Timely,2020-11-01,9999-12-31,0.3620,295,1.0679
Emerson 2,Welwyn,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Empress,Centram MDA,Timely,2020-11-01,9999-12-31,0.4662,295,1.3753
Empress,Centram SSDA,Timely,2020-11-01,9999-12-31,0.3463,295,1.0216
Empress,Centrat MDA,Timely,2020-11-01,9999-12-31,0.5200,295,1.5340
Empress,Chippawa,Timely,2020-11-01,9999-12-31,1.3829,295,4.0796
Empress,Cornwall,Timely,2020-11-01,9999-12-31,1.4412,295,4.2515
Empress,Dawn Export,Timely,2020-11-01,9999-12-31,1.2472,295,3.6792
Empress,East Hereford,Timely,2020-11-01,9999-12-31,1.6009,295,4.7227
Empress,Emerson 1,Timely,2020-11-01,9999-12-31,0.5293,295,1.5614
Empress,Emerson 2,Timely,2020-11-01,9999-12-31,0.5293,295,1.5614
Empress,Empress,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Empress,Enbridge CDA,Timely,2020-11-01,9999-12-31,1.3758,295,4.0586
Empress,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.4170,295,4.1802
Empress,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,1.3490,295,3.9796
Empress,Enbridge SWDA,Timely,2020-11-01,9999-12-31,1.2472,295,3.6792
Empress,Energir EDA,Timely,2020-11-01,9999-12-31,1.5170,295,4.4752
Empress,Energir NDA,Timely,2020-11-01,9999-12-31,1.1687,295,3.4477
Empress,Iroquois,Timely,2020-11-01,9999-12-31,1.4262,295,4.2073
Empress,KPUC EDA,Timely,2020-11-01,9999-12-31,1.4773,295,4.3580
Empress,Kirkwall,Timely,2020-11-01,9999-12-31,1.3318,295,3.9288
Empress,Napierville,Timely,2020-11-01,9999-12-31,1.5101,295,4.4548
Empress,Niagara Falls,Timely,2020-11-01,9999-12-31,1.3818,295,4.0763
Empress,North Bay Junction,Timely,2020-11-01,9999-12-31,1.2222,295,3.6055
Empress,Philipsburg,Timely,2020-11-01,9999-12-31,1.5179,295,4.4778
Empress,Spruce,Timely,2020-11-01,9999-12-31,0.5200,295,1.5340
Empress,St. Clair,Timely,2020-11-01,9999-12-31,1.2257,295,3.6158
Empress,TCPL NDA,Timely,2020-11-01,9999-12-31,1.0734,295,3.1665
Empress,TCPL WDA,Timely,2020-11-01,9999-12-31,0.8106,295,2.3913
Empress,TPLP NDA,Timely,2020-11-01,9999-12-31,0.9576,295,2.8249
Empress,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.2672,295,0.7882
Empress,Union CDA,Timely,2020-11-01,9999-12-31,1.3466,295,3.9725
Empress,Union ECDA,Timely,2020-11-01,9999-12-31,1.3541,295,3.9946
Empress,Union EDA,Timely,2020-11-01,9999-12-31,1.4477,295,4.2707
Empress,Union NCDA,Timely,2020-11-01,9999-12-31,1.3117,295,3.8695
Empress,Union NDA,Timely,2020-11-01,9999-12-31,1.1451,295,3.3780
Empress,Union Parkway Belt,Timely,2020-11-01,9999-12-31,1.3490,295,3.9796
Empress,Union SSMDA,Timely,2020-11-01,9999-12-31,1.0386,295,3.0639
Empress,Union SWDA,Timely,2020-11-01,9999-12-31,1.2456,295,3.6745
Empress,Union WDA,Timely,2020-11-01,9999-12-31,0.7445,295,2.1963
Empress,Welwyn,Timely,2020-11-01,9999-12-31,0.3463,295,1.0216
Enbridge CDA,Centram MDA,Timely,2020-11-01,9999-12-31,1.0681,295,3.1509
Enbridge CDA,Centram SSDA,Timely,2020-11-01,9999-12-31,1.1997,295,3.5391
Enbridge CDA,Centrat MDA,Timely,2020-11-01,9999-12-31,1.0221,295,3.0152
Enbridge CDA,Chippawa,Timely,2020-11-01,9999-12-31,0.1694,295,0.4997
Enbridge CDA,Cornwall,Timely,2020-11-01,9999-12-31,0.2965,295,0.8747
Enbridge CDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.2281,295,0.6729
Enbridge CDA,East Hereford,Timely,2020-11-01,9999-12-31,0.4705,295,1.3880
Enbridge CDA,Emerson 1,Timely,2020-11-01,9999-12-31,1.0048,295,2.9642
Enbridge CDA,Emerson 2,Timely,2020-11-01,9999-12-31,1.0048,295,2.9642
Enbridge CDA,Empress,Timely,2020-11-01,9999-12-31,1.4984,295,4.4203
Enbridge CDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Enbridge CDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.2919,295,0.8611
Enbridge CDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.1224,295,0.3611
Enbridge CDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.2280,295,0.6726
Enbridge CDA,Energir EDA,Timely,2020-11-01,9999-12-31,0.3789,295,1.1178
Enbridge CDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.3229,295,0.9526
Enbridge CDA,Iroquois,Timely,2020-11-01,9999-12-31,0.2758,295,0.8136
Enbridge CDA,KPUC EDA,Timely,2020-11-01,9999-12-31,0.2157,295,0.6363
Enbridge CDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.1359,295,0.4009
Enbridge CDA,Napierville,Timely,2020-11-01,9999-12-31,0.3715,295,1.0959
Enbridge CDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.1679,295,0.4953
Enbridge CDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.2540,295,0.7493
Enbridge CDA,Philipsburg,Timely,2020-11-01,9999-12-31,0.3801,295,1.1213
Enbridge CDA,Spruce,Timely,2020-11-01,9999-12-31,1.0221,295,3.0152
Enbridge CDA,St. Clair,Timely,2020-11-01,9999-12-31,0.2397,295,0.7071
Enbridge CDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.4174,295,1.2313
Enbridge CDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7062,295,2.0833
Enbridge CDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5446,295,1.6066
Enbridge CDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.2864,295,3.7949
Enbridge CDA,Union CDA,Timely,2020-11-01,9999-12-31,0.1422,295,0.4195
Enbridge CDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.1260,295,0.3717
Enbridge CDA,Union EDA,Timely,2020-11-01,9999-12-31,0.2247,295,0.6629
Enbridge CDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.1682,295,0.4962
Enbridge CDA,Union NDA,Timely,2020-11-01,9999-12-31,0.3386,295,0.9989
Enbridge CDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.1224,295,0.3611
Enbridge CDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.5253,295,1.5496
Enbridge CDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.2298,295,0.6779
Enbridge CDA,Union WDA,Timely,2020-11-01,9999-12-31,0.7992,295,2.3576
Enbridge CDA,Welwyn,Timely,2020-11-01,9999-12-31,1.1997,295,3.5391
Enbridge EDA,Centram MDA,Timely,2020-11-01,9999-12-31,1.1138,295,3.2857
Enbridge EDA,Centram SSDA,Timely,2020-11-01,9999-12-31,1.2445,295,3.6713
Enbridge EDA,Centrat MDA,Timely,2020-11-01,9999-12-31,1.0540,295,3.1093
Enbridge EDA,Chippawa,Timely,2020-11-01,9999-12-31,0.3724,295,1.0986
Enbridge EDA,Cornwall,Timely,2020-11-01,9999-12-31,0.1431,295,0.4221
Enbridge EDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.4172,295,1.2307
Enbridge EDA,East Hereford,Timely,2020-11-01,9999-12-31,0.3165,295,0.9337
Enbridge EDA,Emerson 1,Timely,2020-11-01,9999-12-31,1.1155,295,3.2907
Enbridge EDA,Emerson 2,Timely,2020-11-01,9999-12-31,1.1155,295,3.2907
Enbridge EDA,Empress,Timely,2020-11-01,9999-12-31,1.5433,295,4.5527
Enbridge EDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.2919,295,0.8611
Enbridge EDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Enbridge EDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.3064,295,0.9039
Enbridge EDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.4172,295,1.2307
Enbridge EDA,Energir EDA,Timely,2020-11-01,9999-12-31,0.2249,295,0.6635
Enbridge EDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.3514,295,1.0366
Enbridge EDA,Iroquois,Timely,2020-11-01,9999-12-31,0.1299,295,0.3832
Enbridge EDA,KPUC EDA,Timely,2020-11-01,9999-12-31,0.1722,295,0.5080
Enbridge EDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.3251,295,0.9590
Enbridge EDA,Napierville,Timely,2020-11-01,9999-12-31,0.2175,295,0.6416
Enbridge EDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.3712,295,1.0950
Enbridge EDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.2825,295,0.8334
Enbridge EDA,Philipsburg,Timely,2020-11-01,9999-12-31,0.2261,295,0.6670
Enbridge EDA,Spruce,Timely,2020-11-01,9999-12-31,1.0540,295,3.1093
Enbridge EDA,St. Clair,Timely,2020-11-01,9999-12-31,0.4289,295,1.2653
Enbridge EDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.4460,295,1.3157
Enbridge EDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7347,295,2.1674
Enbridge EDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5731,295,1.6906
Enbridge EDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.3313,295,3.9273
Enbridge EDA,Union CDA,Timely,2020-11-01,9999-12-31,0.3362,295,0.9918
Enbridge EDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.3120,295,0.9204
Enbridge EDA,Union EDA,Timely,2020-11-01,9999-12-31,0.1680,295,0.4956
Enbridge EDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.3284,295,0.9688
Enbridge EDA,Union NDA,Timely,2020-11-01,9999-12-31,0.3675,295,1.0841
Enbridge EDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.3064,295,0.9039
Enbridge EDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.7145,295,2.1078
Enbridge EDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.4190,295,1.2361
Enbridge EDA,Union WDA,Timely,2020-11-01,9999-12-31,0.8277,295,2.4417
Enbridge EDA,Welwyn,Timely,2020-11-01,9999-12-31,1.2445,295,3.6713
Enbridge Parkway CDA,Centram MDA,Timely,2020-11-01,9999-12-31,1.0391,295,3.0653
Enbridge Parkway CDA,Centram SSDA,Timely,2020-11-01,9999-12-31,1.1704,295,3.4527
Enbridge Parkway CDA,Centrat MDA,Timely,2020-11-01,9999-12-31,1.0289,295,3.0353
Enbridge Parkway CDA,Chippawa,Timely,2020-11-01,9999-12-31,0.1477,295,0.4357
Enbridge Parkway CDA,Cornwall,Timely,2020-11-01,9999-12-31,0.3109,295,0.9172
Enbridge Parkway CDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.1925,295,0.5679
Enbridge Parkway CDA,East Hereford,Timely,2020-11-01,9999-12-31,0.4849,295,1.4305
Enbridge Parkway CDA,Emerson 1,Timely,2020-11-01,9999-12-31,0.9693,295,2.8594
Enbridge Parkway CDA,Emerson 2,Timely,2020-11-01,9999-12-31,0.9693,295,2.8594
Enbridge Parkway CDA,Empress,Timely,2020-11-01,9999-12-31,1.4692,295,4.3341
Enbridge Parkway CDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.1224,295,0.3611
Enbridge Parkway CDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.3064,295,0.9039
Enbridge Parkway CDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Enbridge Parkway CDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.1925,295,0.5679
Enbridge Parkway CDA,Energir EDA,Timely,2020-11-01,9999-12-31,0.3935,295,1.1608
Enbridge Parkway CDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.3262,295,0.9623
Enbridge Parkway CDA,Iroquois,Timely,2020-11-01,9999-12-31,0.2902,295,0.8561
Enbridge Parkway CDA,KPUC EDA,Timely,2020-11-01,9999-12-31,0.2301,295,0.6788
Enbridge Parkway CDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.1003,295,0.2959
Enbridge Parkway CDA,Napierville,Timely,2020-11-01,9999-12-31,0.3860,295,1.1387
Enbridge Parkway CDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.1465,295,0.4322
Enbridge Parkway CDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.2573,295,0.7590
Enbridge Parkway CDA,Philipsburg,Timely,2020-11-01,9999-12-31,0.3945,295,1.1638
Enbridge Parkway CDA,Spruce,Timely,2020-11-01,9999-12-31,1.0289,295,3.0353
Enbridge Parkway CDA,St. Clair,Timely,2020-11-01,9999-12-31,0.2042,295,0.6024
Enbridge Parkway CDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.4208,295,1.2414
Enbridge Parkway CDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7096,295,2.0933
Enbridge Parkway CDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5480,295,1.6166
Enbridge Parkway CDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.2573,295,3.7090
Enbridge Parkway CDA,Union CDA,Timely,2020-11-01,9999-12-31,0.1115,295,0.3289
Enbridge Parkway CDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.0873,295,0.2575
Enbridge Parkway CDA,Union EDA,Timely,2020-11-01,9999-12-31,0.2393,295,0.7059
Enbridge Parkway CDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.1716,295,0.5062
Enbridge Parkway CDA,Union NDA,Timely,2020-11-01,9999-12-31,0.3420,295,1.0089
Enbridge Parkway CDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Enbridge Parkway CDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.4898,295,1.4449
Enbridge Parkway CDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.1943,295,0.5732
Enbridge Parkway CDA,Union WDA,Timely,2020-11-01,9999-12-31,0.8025,295,2.3674
Enbridge Parkway CDA,Welwyn,Timely,2020-11-01,9999-12-31,1.1704,295,3.4527
Energir EDA,Centram MDA,Timely,2020-11-01,9999-12-31,1.2227,295,3.6070
Energir EDA,Centram SSDA,Timely,2020-11-01,9999-12-31,1.3534,295,3.9925
Energir EDA,Centrat MDA,Timely,2020-11-01,9999-12-31,1.1625,295,3.4294
Energir EDA,Chippawa,Timely,2020-11-01,9999-12-31,0.4595,295,1.3555
Energir EDA,Cornwall,Timely,2020-11-01,9999-12-31,0.1642,295,0.4844
Energir EDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.5043,295,1.4877
Energir EDA,East Hereford,Timely,2020-11-01,9999-12-31,0.2281,295,0.6729
Energir EDA,Emerson 1,Timely,2020-11-01,9999-12-31,1.2319,295,3.6341
Energir EDA,Emerson 2,Timely,2020-11-01,9999-12-31,1.2319,295,3.6341
Energir EDA,Empress,Timely,2020-11-01,9999-12-31,1.6522,295,4.8740
Energir EDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.3789,295,1.1178
Energir EDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.2249,295,0.6635
Energir EDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.3935,295,1.1608
Energir EDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.5043,295,1.4877
Energir EDA,Energir EDA,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Energir EDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.4599,295,1.3567
Energir EDA,Iroquois,Timely,2020-11-01,9999-12-31,0.1895,295,0.5590
Energir EDA,KPUC EDA,Timely,2020-11-01,9999-12-31,0.2450,295,0.7228
Energir EDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.4121,295,1.2157
Energir EDA,Napierville,Timely,2020-11-01,9999-12-31,0.1698,295,0.5009
Energir EDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.4583,295,1.3520
Energir EDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.3910,295,1.1535
Energir EDA,Philipsburg,Timely,2020-11-01,9999-12-31,0.1770,295,0.5222
Energir EDA,Spruce,Timely,2020-11-01,9999-12-31,1.1625,295,3.4294
Energir EDA,St. Clair,Timely,2020-11-01,9999-12-31,0.5160,295,1.5222
Energir EDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.5545,295,1.6358
Energir EDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.8432,295,2.4874
Energir EDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.6817,295,2.0110
Energir EDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.4401,295,4.2483
Energir EDA,Union CDA,Timely,2020-11-01,9999-12-31,0.4233,295,1.2487
Energir EDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.3991,295,1.1773
Energir EDA,Union EDA,Timely,2020-11-01,9999-12-31,0.2365,295,0.6977
Energir EDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.4318,295,1.2738
Energir EDA,Union NDA,Timely,2020-11-01,9999-12-31,0.4758,295,1.4036
Energir EDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.3935,295,1.1608
Energir EDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.8016,295,2.3647
Energir EDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.5061,295,1.4930
Energir EDA,Union WDA,Timely,2020-11-01,9999-12-31,0.9362,295,2.7618
Energir EDA,Welwyn,Timely,2020-11-01,9999-12-31,1.3534,295,3.9925
Energir NDA,Centram MDA,Timely,2020-11-01,9999-12-31,0.7780,295,2.2951
Energir NDA,Centram SSDA,Timely,2020-11-01,9999-12-31,0.8968,295,2.6456
Energir NDA,Centrat MDA,Timely,2020-11-01,9999-12-31,0.7231,295,2.1331
Energir NDA,Chippawa,Timely,2020-11-01,9999-12-31,0.3601,295,1.0623
Energir NDA,Cornwall,Timely,2020-11-01,9999-12-31,0.3465,295,1.0222
Energir NDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.4013,295,1.1838
Energir NDA,East Hereford,Timely,2020-11-01,9999-12-31,0.5063,295,1.4936
Energir NDA,Emerson 1,Timely,2020-11-01,9999-12-31,0.7862,295,2.3193
Energir NDA,Emerson 2,Timely,2020-11-01,9999-12-31,0.7862,295,2.3193
Energir NDA,Empress,Timely,2020-11-01,9999-12-31,1.1687,295,3.4477
Energir NDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.2965,295,0.8747
Energir NDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.3227,295,0.9520
Energir NDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.2995,295,0.8835
Energir NDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.4013,295,1.1838
Energir NDA,Energir EDA,Timely,2020-11-01,9999-12-31,0.4223,295,1.2458
Energir NDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Energir NDA,Iroquois,Timely,2020-11-01,9999-12-31,0.3316,295,0.9782
Energir NDA,KPUC EDA,Timely,2020-11-01,9999-12-31,0.3826,295,1.1287
Energir NDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.3167,295,0.9343
Energir NDA,Napierville,Timely,2020-11-01,9999-12-31,0.4154,295,1.2254
Energir NDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.3591,295,1.0593
Energir NDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.1371,295,0.4044
Energir NDA,Philipsburg,Timely,2020-11-01,9999-12-31,0.4232,295,1.2484
Energir NDA,Spruce,Timely,2020-11-01,9999-12-31,0.7231,295,2.1331
Energir NDA,St. Clair,Timely,2020-11-01,9999-12-31,0.4084,295,1.2048
Energir NDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.1696,295,0.5003
Energir NDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.4325,295,1.2759
Energir NDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.2854,295,0.8419
Energir NDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.9758,295,2.8786
Energir NDA,Union CDA,Timely,2020-11-01,9999-12-31,0.3269,295,0.9644
Energir NDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.3047,295,0.8989
Energir NDA,Union EDA,Timely,2020-11-01,9999-12-31,0.3547,295,1.0464
Energir NDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.2170,295,0.6402
Energir NDA,Union NDA,Timely,2020-11-01,9999-12-31,0.1481,295,0.4369
Energir NDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.2995,295,0.8835
Energir NDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.6684,295,1.9718
Energir NDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.4029,295,1.1886
Energir NDA,Union WDA,Timely,2020-11-01,9999-12-31,0.5171,295,1.5254
Energir NDA,Welwyn,Timely,2020-11-01,9999-12-31,0.8968,295,2.6456
Grand Coulee,Centram MDA,Timely,2020-11-01,9999-12-31,0.2999,295,0.8847
Grand Coulee,Centram SSDA,Timely,2020-11-01,9999-12-31,0.1799,295,0.5307
Grand Coulee,Centrat MDA,Timely,2020-11-01,9999-12-31,0.3536,295,1.0431
Grand Coulee,Chippawa,Timely,2020-11-01,9999-12-31,1.2151,295,3.5845
Grand Coulee,Cornwall,Timely,2020-11-01,9999-12-31,1.2733,295,3.7562
Grand Coulee,Dawn Export,Timely,2020-11-01,9999-12-31,1.0794,295,3.1842
Grand Coulee,East Hereford,Timely,2020-11-01,9999-12-31,1.4331,295,4.2276
Grand Coulee,Emerson 1,Timely,2020-11-01,9999-12-31,0.3630,295,1.0709
Grand Coulee,Emerson 2,Timely,2020-11-01,9999-12-31,0.3630,295,1.0709
Grand Coulee,Empress,Timely,2020-11-01,9999-12-31,0.2407,295,0.7101
Grand Coulee,Enbridge CDA,Timely,2020-11-01,9999-12-31,1.2080,295,3.5636
Grand Coulee,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.2492,295,3.6851
Grand Coulee,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,1.1812,295,3.4845
Grand Coulee,Enbridge SWDA,Timely,2020-11-01,9999-12-31,1.0794,295,3.1842
Grand Coulee,Energir EDA,Timely,2020-11-01,9999-12-31,1.3492,295,3.9801
Grand Coulee,Energir NDA,Timely,2020-11-01,9999-12-31,1.0024,295,2.9571
Grand Coulee,Iroquois,Timely,2020-11-01,9999-12-31,1.2584,295,3.7123
Grand Coulee,KPUC EDA,Timely,2020-11-01,9999-12-31,1.3095,295,3.8630
Grand Coulee,Kirkwall,Timely,2020-11-01,9999-12-31,1.1640,295,3.4338
Grand Coulee,Napierville,Timely,2020-11-01,9999-12-31,1.3423,295,3.9598
Grand Coulee,Niagara Falls,Timely,2020-11-01,9999-12-31,1.2140,295,3.5813
Grand Coulee,North Bay Junction,Timely,2020-11-01,9999-12-31,1.0559,295,3.1149
Grand Coulee,Philipsburg,Timely,2020-11-01,9999-12-31,1.3501,295,3.9828
Grand Coulee,Spruce,Timely,2020-11-01,9999-12-31,0.3536,295,1.0431
Grand Coulee,St. Clair,Timely,2020-11-01,9999-12-31,1.0594,295,3.1252
Grand Coulee,TCPL NDA,Timely,2020-11-01,9999-12-31,0.9071,295,2.6759
Grand Coulee,TCPL WDA,Timely,2020-11-01,9999-12-31,0.6442,295,1.9004
Grand Coulee,TPLP NDA,Timely,2020-11-01,9999-12-31,0.7913,295,2.3343
Grand Coulee,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.1057,295,0.3118
